"","sector","val","type","year"
"1","Big Bend",196,"staffing",2000
"2","Del Rio",758,"staffing",2000
"3","El Centro",502,"staffing",2000
"4","El Paso",1036,"staffing",2000
"5","Laredo",806,"staffing",2000
"6","Rio Grande Valley",1368,"staffing",2000
"7","San Diego",2053,"staffing",2000
"8","Tucson",1548,"staffing",2000
"9","Yuma",313,"staffing",2000
"10","Big Bend",194,"staffing",2001
"11","Del Rio",893,"staffing",2001
"12","El Centro",589,"staffing",2001
"13","El Paso",1086,"staffing",2001
"14","Laredo",921,"staffing",2001
"15","Rio Grande Valley",1451,"staffing",2001
"16","San Diego",2004,"staffing",2001
"17","Tucson",1686,"staffing",2001
"18","Yuma",323,"staffing",2001
"19","Big Bend",253,"staffing",2002
"20","Del Rio",972,"staffing",2002
"21","El Centro",683,"staffing",2002
"22","El Paso",1122,"staffing",2002
"23","Laredo",969,"staffing",2002
"24","Rio Grande Valley",1484,"staffing",2002
"25","San Diego",1807,"staffing",2002
"26","Tucson",1626,"staffing",2002
"27","Yuma",323,"staffing",2002
"28","Big Bend",230,"staffing",2003
"29","Del Rio",950,"staffing",2003
"30","El Centro",755,"staffing",2003
"31","El Paso",1188,"staffing",2003
"32","Laredo",1025,"staffing",2003
"33","Rio Grande Valley",1524,"staffing",2003
"34","San Diego",1972,"staffing",2003
"35","Tucson",1838,"staffing",2003
"36","Yuma",358,"staffing",2003
"37","Big Bend",239,"staffing",2004
"38","Del Rio",933,"staffing",2004
"39","El Centro",734,"staffing",2004
"40","El Paso",1094,"staffing",2004
"41","Laredo",981,"staffing",2004
"42","Rio Grande Valley",1439,"staffing",2004
"43","San Diego",1651,"staffing",2004
"44","Tucson",2104,"staffing",2004
"45","Yuma",331,"staffing",2004
"46","Big Bend",220,"staffing",2005
"47","Del Rio",907,"staffing",2005
"48","El Centro",684,"staffing",2005
"49","El Paso",1330,"staffing",2005
"50","Laredo",937,"staffing",2005
"51","Rio Grande Valley",1380,"staffing",2005
"52","San Diego",1562,"staffing",2005
"53","Tucson",2324,"staffing",2005
"54","Yuma",547,"staffing",2005
"55","Big Bend",246,"staffing",2006
"56","Del Rio",935,"staffing",2006
"57","El Centro",713,"staffing",2006
"58","El Paso",1741,"staffing",2006
"59","Laredo",926,"staffing",2006
"60","Rio Grande Valley",1431,"staffing",2006
"61","San Diego",1671,"staffing",2006
"62","Tucson",2595,"staffing",2006
"63","Yuma",774,"staffing",2006
"64","Big Bend",336,"staffing",2007
"65","Del Rio",1138,"staffing",2007
"66","El Centro",894,"staffing",2007
"67","El Paso",2251,"staffing",2007
"68","Laredo",1206,"staffing",2007
"69","Rio Grande Valley",1822,"staffing",2007
"70","San Diego",2019,"staffing",2007
