FRAME_ID,TIME,Y_POS,Y_VEL
71895,0.705419,161.818,-45.186
71896,0.715191,161.19,-64.2857
71897,0.72508,160.427,-77.1657
71898,0.735244,159.425,-98.5068
71899,0.744849,158.414,-105.314
71900,0.754624,157.454,-98.1826
71901,0.764439,156.381,-109.347
71902,0.774248,155.362,-103.821
71903,0.785708,154.245,-97.4651
71904,0.793964,153.273,-117.743
71905,0.803765,152.178,-111.772
71906,0.813598,151.148,-104.752
71907,0.82344,150.12,-104.431
71908,0.83331,149.19,-94.2231
71909,0.843157,148.377,-82.5416
71910,0.852947,147.648,-74.4636
71911,0.862777,147.001,-65.89
71912,0.872621,146.411,-59.9236
71913,0.882445,145.945,-47.3748
71914,0.892297,145.62,-32.9997
71915,0.902128,145.411,-21.243
71916,0.911968,145.414,0.308259
71917,0.921813,145.513,9.9809
71918,0.931682,145.832,32.384
71919,0.94149,146.296,47.3039
71920,0.951333,146.834,54.6062
71921,0.961119,147.569,75.1473
71922,0.971065,148.378,81.333
71923,0.980905,149.292,92.8936
71924,0.990668,150.27,100.129
71925,1.000484,151.369,111.978
71926,1.010284,152.624,128.072
71927,1.020232,153.997,138.024
71928,1.030044,155.509,154.11
71929,1.039838,157.173,169.863
71930,1.050037,159.072,186.236
71931,1.059576,160.953,197.125
71932,1.069406,163.027,211.056
71933,1.079527,165.176,212.341
71934,1.089791,167.388,215.509
71935,1.098887,169.578,240.728
71936,1.108671,171.93,240.402
71937,1.118538,174.445,254.832
71938,1.128424,177.001,258.63
71939,1.138588,179.818,277.095
71940,1.148108,182.411,272.407
71941,1.158071,185.194,279.29
71942,1.167795,187.857,273.902
71943,1.178237,190.519,254.913
71944,1.187935,193.069,262.982
71945,1.197945,195.554,248.215
71946,1.207135,197.733,237.123
71947,1.217467,200.122,231.234
71948,1.226865,202.143,215.064
71949,1.236911,204.231,207.768
71950,1.246733,206.04,184.256
71951,1.256327,207.668,169.701
71954,1.285816,210.057,81.0082
71955,1.296455,210.19,12.4476
71956,1.305476,210.278,9.78836
71957,1.315375,210.39,11.281
71958,1.328907,210.289,-7.43952
71959,1.334964,209.895,-65.0818
71960,1.344805,209.395,-50.8061
71961,1.354633,208.564,-84.5326
71962,1.36501,207.681,-85.1252
71963,1.37481,206.542,-116.218
71964,1.384211,205.338,-128.078
71965,1.39407,204.06,-129.587
71966,1.404301,202.499,-152.545
71967,1.41414,200.775,-175.267
71968,1.42357,198.889,-200.01
71969,1.433849,196.828,-200.529
71970,1.443454,194.732,-218.219
71971,1.453167,192.675,-211.707
71972,1.463314,190.369,-227.25
71973,1.472725,188.12,-239.044
71974,1.482632,185.862,-227.869
71975,1.492388,183.695,-222.183
71976,1.502193,181.715,-201.936
71977,1.512081,179.784,-195.214
71978,1.521855,177.98,-184.582
71979,1.532015,176.127,-182.436
71980,1.541714,174.312,-187.068
71981,1.5514,172.464,-190.788
71982,1.561246,170.621,-187.192
71983,1.571144,168.88,-175.899
71984,1.580959,167.202,-170.953
71985,1.590779,165.765,-146.343
71986,1.600686,164.419,-135.939
